,Date,Close
0,2023-04-10,162.029999
1,2023-04-11,160.800003
2,2023-04-12,160.100006
3,2023-04-13,165.559998
4,2023-04-14,165.210007
5,2023-04-17,165.229996
6,2023-04-18,166.470001
7,2023-04-19,167.630005
8,2023-04-20,166.649994
9,2023-04-21,165.020004
10,2023-04-24,165.330002
11,2023-04-25,163.770004
12,2023-04-26,163.759995
13,2023-04-27,168.410004
14,2023-04-28,169.679993
15,2023-05-01,169.589996
16,2023-05-02,168.539993
17,2023-05-03,167.449997
18,2023-05-04,165.789993
19,2023-05-05,173.570007
20,2023-05-08,173.5
21,2023-05-09,171.770004
22,2023-05-10,173.559998
23,2023-05-11,173.75
24,2023-05-12,172.570007
25,2023-05-15,172.070007
26,2023-05-16,172.070007
27,2023-05-17,172.690002
28,2023-05-18,175.050003
29,2023-05-19,175.160004
30,2023-05-22,174.199997
31,2023-05-23,171.559998
32,2023-05-24,171.839996
33,2023-05-25,172.990005
34,2023-05-26,175.429993
35,2023-05-30,177.300003
36,2023-05-31,177.25
37,2023-06-01,180.089996
38,2023-06-02,180.949997
39,2023-06-05,179.580002
40,2023-06-06,179.210007
41,2023-06-07,177.820007
42,2023-06-08,180.570007
43,2023-06-09,180.960007
44,2023-06-12,183.789993
45,2023-06-13,183.309998
46,2023-06-14,183.949997
47,2023-06-15,186.009995
48,2023-06-16,184.919998
49,2023-06-20,185.009995
50,2023-06-21,183.960007
51,2023-06-22,187.0
52,2023-06-23,186.679993
53,2023-06-26,185.270004
54,2023-06-27,188.059998
55,2023-06-28,189.25
56,2023-06-29,189.589996
57,2023-06-30,193.970001
58,2023-07-03,192.460007
59,2023-07-05,191.330002
60,2023-07-06,191.809998
61,2023-07-07,190.679993
62,2023-07-10,188.610001
63,2023-07-11,188.080002
64,2023-07-12,189.770004
65,2023-07-13,190.539993
66,2023-07-14,190.690002
67,2023-07-17,193.990005
68,2023-07-18,193.729996
69,2023-07-19,195.100006
70,2023-07-20,193.130005
71,2023-07-21,191.940002
72,2023-07-24,192.75
73,2023-07-25,193.619995
74,2023-07-26,194.5
75,2023-07-27,193.220001
76,2023-07-28,195.830002
77,2023-07-31,196.449997
78,2023-08-01,195.610001
79,2023-08-02,192.580002
80,2023-08-03,191.169998
81,2023-08-04,181.990005
82,2023-08-07,178.850006
83,2023-08-08,179.800003
84,2023-08-09,178.190002
85,2023-08-10,177.970001
86,2023-08-11,177.789993
87,2023-08-14,179.460007
88,2023-08-15,177.449997
89,2023-08-16,176.570007
90,2023-08-17,174.0
91,2023-08-18,174.490005
92,2023-08-21,175.839996
93,2023-08-22,177.229996
94,2023-08-23,181.119995
95,2023-08-24,176.380005
96,2023-08-25,178.610001
97,2023-08-28,180.190002
98,2023-08-29,184.119995
99,2023-08-30,187.649994
100,2023-08-31,187.869995
101,2023-09-01,189.460007
102,2023-09-05,189.699997
103,2023-09-06,182.910004
104,2023-09-07,177.559998
105,2023-09-08,178.179993
106,2023-09-11,179.360001
107,2023-09-12,176.300003
108,2023-09-13,174.210007
109,2023-09-14,175.740005
110,2023-09-15,175.009995
111,2023-09-18,177.970001
112,2023-09-19,179.070007
113,2023-09-20,175.490005
114,2023-09-21,173.929993
115,2023-09-22,174.789993
116,2023-09-25,176.080002
117,2023-09-26,171.960007
118,2023-09-27,170.429993
119,2023-09-28,170.690002
120,2023-09-29,171.210007
121,2023-10-02,173.75
122,2023-10-03,172.399994
123,2023-10-04,173.660004
124,2023-10-05,174.910004
125,2023-10-06,177.490005
126,2023-10-09,178.990005
127,2023-10-10,178.389999
128,2023-10-11,179.800003
129,2023-10-12,180.710007
130,2023-10-13,178.850006
131,2023-10-16,178.720001
132,2023-10-17,177.149994
133,2023-10-18,175.839996
134,2023-10-19,175.460007
135,2023-10-20,172.880005
136,2023-10-23,173.0
137,2023-10-24,173.440002
138,2023-10-25,171.100006
139,2023-10-26,166.889999
140,2023-10-27,168.220001
141,2023-10-30,170.289993
142,2023-10-31,170.770004
143,2023-11-01,173.970001
144,2023-11-02,177.570007
145,2023-11-03,176.649994
146,2023-11-06,179.229996
147,2023-11-07,181.820007
148,2023-11-08,182.889999
149,2023-11-09,182.410004
150,2023-11-10,186.399994
